date,canton,C1_oxford_school_closing,school_primary_secondary,school_highschool,school_university,C2_oxford_workplace_closing,home_office_recommended,leisure,sport,shops,hairdressers,church,restaurants,restaurants_tablesize,clubs,clubs_npeople,C3_oxford_cancel_public_events,C4_oxford_restrictions_on_gatherings,public_events_npeople,gatherings_npeople,C5_oxford_close_public_transport,C6_oxford_stay_at_home,C7_oxford_restriction_internal_movement,C8_oxford_international_travel_control,H1_oxford_public_info_campaigns,H2_oxford_testing_policy,H3_oxford_contact_tracing,H6_oxford_facial_coverings,facial_coverings_shops,facial_coverings_public_buildings,facial_coverings_schools,oxford_containment_health
01.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
02.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
03.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
04.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
05.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
06.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
07.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
08.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
09.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
10.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
11.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
12.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
13.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
14.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
15.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
16.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
17.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
18.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
19.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
20.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
21.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
22.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
23.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
24.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
25.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
26.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
27.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
28.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
29.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
30.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
31.01.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
01.02.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
02.02.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
03.02.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
04.02.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
05.02.20,AG,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
